Name,Date of Birth,Type of Parliamentarian,House of Commons,Senate,Riding/Senatorial Division,Province/Territory,Gender,Political Affiliation,Years of Service
"Leblanc, Fernand-E.",1917-07-01,"MP (1964/02/10 - 1979/03/26)
Senator (1979/03/27 - 1992/07/01)
","1964/02/10 - 1979/03/26
","1979/03/27 - 1992/07/01
","Saurel (1979/03/27 - 1992/07/01)
Laurier (1964/02/10 - 1979/03/26)
","Quebec
Quebec
",Man,"Liberal Party of Canada (1964/02/10 - 1992/07/01)
","10370 days (28 years, 4 months, 21 days)"
"LeBlanc, Francis G.",1953-12-22,"MP (1988/11/21 - 1997/06/01)
","1988/11/21 - 1997/06/01
",NA,"Cape Breton Highlands--Canso (1988/11/21 - 1997/06/01)
","Nova Scotia
",Man,"Liberal Party of Canada (1988/11/21 - 1997/06/01)
","3115 days (8 years, 6 months, 10 days)"
"LeBlanc, Hélène",1958-03-27,"MP (2011/05/02 - 2015/10/18)
","2011/05/02 - 2015/10/18
",NA,"LaSalle--Émard (2011/05/02 - 2015/10/18)
","Quebec
",Woman,"New Democratic Party (2011/05/02 - 2015/10/18)
","1631 days (4 years, 5 months, 18 days)"
"LeBlanc, Louis Guy",1921-01-23,"MP (1965/11/08 - 1972/10/29)
","1965/11/08 - 1972/10/29
",NA,"Rimouski (1965/11/08 - 1972/10/29)
","Quebec
",Man,"Liberal Party of Canada (1965/11/08 - 1972/10/29)
","2548 days (6 years, 11 months, 22 days)"
"Leblanc, Nic",1941-11-15,"MP (1984/09/04 - 1997/06/01)
","1984/09/04 - 1997/06/01
",NA,"Longueuil (1984/09/04 - 1997/06/01)
","Quebec
",Man,"Independent Sovereignist (1997/03/17 - 1997/06/01)
Bloc Québécois (1990/12/20 - 1997/03/16)
Independent (1990/06/26 - 1990/12/19)
Progressive Conservative Party (1984/09/04 - 1990/06/25)
","4654 days (12 years, 8 months, 28 days)"
"LeBlanc, Roméo",1927-12-18,"MP (1972/10/30 - 1984/06/28)
Senator (1984/06/29 - 1994/11/21)
","1972/10/30 - 1984/06/28
","1984/06/29 - 1994/11/21
","Beauséjour (1984/06/29 - 1994/11/21)
Westmorland--Kent (1972/10/30 - 1984/06/28)
","New Brunswick
New Brunswick
",Man,"Liberal Party of Canada (1972/10/30 - 1994/11/21)
","8058 days (22 years, 23 days)"
"Leboe, Bert Raymond",1909-08-13,"MP (1962/06/18 - 1968/06/24)
MP (1953/08/10 - 1958/03/30)
","1962/06/18 - 1968/06/24
1953/08/10 - 1958/03/30
",NA,"Cariboo (1962/06/18 - 1968/06/24)
Cariboo (1953/08/10 - 1958/03/30)
","British Columbia
British Columbia
",Man,"Social Credit Party of Canada (1962/06/18 - 1968/06/24)
Social Credit Party of Canada (1953/08/10 - 1958/03/30)
","3893 days (10 years, 7 months, 28 days)"
"Lebouthillier, Diane",1959-02-05,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Gaspésie--Les Îles-de-la-Madeleine (2015/10/19 - )
","Quebec
",Woman,"Liberal Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"LeBreton, Marjory",1940-07-04,"Senator (1993/06/18 - 2015/07/04)
",NA,"1993/06/18 - 2015/07/04
","Ontario (1993/06/18 - 2015/07/04)
","Ontario
",Woman,"Conservative Party of Canada (2003/12/09 - 2015/07/04)
Progressive Conservative Party (1993/06/18 - 2003/12/08)
","8052 days (22 years, 17 days)"
"Leduc, Jean-Louis",1918-03-07,"MP (1979/05/22 - 1984/09/03)
","1979/05/22 - 1984/09/03
",NA,"Richelieu (1979/05/22 - 1984/09/03)
","Quebec
",Man,"Liberal Party of Canada (1979/05/22 - 1984/09/03)
","1932 days (5 years, 3 months, 15 days)"
"Leduc, Rodolphe",1902-04-11,"MP (1954/03/22 - 1965/11/07)
MP (1936/08/03 - 1945/06/10)
","1954/03/22 - 1965/11/07
1936/08/03 - 1945/06/10
",NA,"Gatineau (1954/03/22 - 1965/11/07)
Wright (1936/08/03 - 1945/06/10)
","Quebec
Quebec
",Man,"Liberal Party of Canada (1954/03/22 - 1965/11/07)
Liberal Party of Canada (1936/08/03 - 1945/06/10)
","7483 days (20 years, 5 months, 26 days)"
"Lee, Arthur John (Art)",1947-09-30,"MP (1974/07/08 - 1979/05/21)
","1974/07/08 - 1979/05/21
",NA,"Vancouver East (1974/07/08 - 1979/05/21)
","British Columbia
",Man,"Liberal Party of Canada (1974/07/08 - 1979/05/21)
","1779 days (4 years, 10 months, 14 days)"
"Lee, Derek Vincent",1948-10-02,"MP (1988/11/21 - 2011/05/01)
","1988/11/21 - 2011/05/01
",NA,"Scarborough--Rouge River (1988/11/21 - 2011/05/01)
","Ontario
",Man,"Liberal Party of Canada (1988/11/21 - 2011/05/01)
","8197 days (22 years, 5 months, 10 days)"
"Leef, Ryan",1973-12-28,"MP (2011/05/02 - 2015/10/18)
","2011/05/02 - 2015/10/18
",NA,"Yukon (2011/05/02 - 2015/10/18)
","Yukon
",Man,"Conservative Party of Canada (2011/05/02 - 2015/10/18)
","1631 days (4 years, 5 months, 18 days)"
"Lefebvre, Paul",1974,"MP (2015/10/19 - 2021/09/19)
","2015/10/19 - 2021/09/19
",NA,"Sudbury (2015/10/19 - 2021/09/19)
","Ontario
",Man,"Liberal Party of Canada (2015/10/19 - 2021/09/19)
","2163 days (5 years, 11 months, 2 days)"
"Lefebvre, Réjean",1943-06-01,"MP (1993/10/25 - 2000/11/26)
","1993/10/25 - 2000/11/26
",NA,"Champlain (1993/10/25 - 2000/11/26)
","Quebec
",Man,"Independent (1999/01/05 - 2000/11/26)
Bloc Québécois (1993/10/25 - 1999/01/04)
","2590 days (7 years, 1 months, 3 days)"
"Lefebvre, Thomas",1927-05-23,"MP (1979/05/22 - 1984/07/08)
MP (1968/06/25 - 1979/05/21)
MP (1965/11/08 - 1968/06/24)
Senator (1984/07/09 - 1992/11/20)
","1979/05/22 - 1984/07/08
1968/06/25 - 1979/05/21
1965/11/08 - 1968/06/24
","1984/07/09 - 1992/11/20
","De Lanaudière (1984/07/09 - 1992/11/20)
Pontiac--Gatineau--Labelle (1979/05/22 - 1984/07/08)
Pontiac (1968/06/25 - 1979/05/21)
Pontiac--Témiscamingue (1965/11/08 - 1968/06/24)
","Quebec
Quebec
Quebec
Quebec
",Man,"Liberal Party of Canada (1965/11/08 - 1992/11/20)
","9875 days (27 years, 13 days)"
"Lefrançois, J.-Eugène",1896-08-09,"MP (1949/10/24 - 1957/04/24)
Senator (1957/04/25 - 1976/11/05)
","1949/10/24 - 1957/04/24
","1957/04/25 - 1976/11/05
","Repentigny (1957/04/25 - 1976/11/05)
Laurier (1949/10/24 - 1957/04/24)
","Quebec
Quebec
",Man,"Liberal Party of Canada (1949/10/24 - 1976/11/05)
","9875 days (27 years, 13 days)"
"Legault, Carl",1923-01-02,"MP (1964/06/22 - 1972/10/29)
","1964/06/22 - 1972/10/29
",NA,"Nipissing (1964/06/22 - 1972/10/29)
","Ontario
",Man,"Liberal Party of Canada (1964/06/22 - 1972/10/29)
","3052 days (8 years, 4 months, 8 days)"
"Léger, Viola",1930-06-29,"Senator (2001/06/13 - 2005/06/29)
",NA,"2001/06/13 - 2005/06/29
","Acadie (2001/06/13 - 2005/06/29)
","New Brunswick
",Woman,"Liberal Party of Canada (2001/06/13 - 2005/06/29)
","1478 days (4 years, 17 days)"
"Leggatt, Stuart Malcolm",1931-11-09,"MP (1972/10/30 - 1979/05/21)
","1972/10/30 - 1979/05/21
",NA,"New Westminster (1972/10/30 - 1979/05/21)
","British Columbia
",Man,"New Democratic Party (1972/10/30 - 1979/05/21)
","2395 days (6 years, 6 months, 21 days)"
"Lehoux, Richard",NA,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Beauce (2019/10/21 - )
","Quebec
",Man,"Conservative Party of Canada (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
"Leitch, K. Kellie",1970-07-30,"MP (2011/05/02 - 2019/10/20)
","2011/05/02 - 2019/10/20
",NA,"Simcoe--Grey (2011/05/02 - 2019/10/20)
","Ontario
",Woman,"Conservative Party of Canada (2011/05/02 - 2019/10/20)
","3094 days (8 years, 5 months, 20 days)"
"Lemay, Marc",1951-04-04,"MP (2004/06/28 - 2011/05/01)
","2004/06/28 - 2011/05/01
",NA,"Abitibi--Témiscamingue (2004/06/28 - 2011/05/01)
","Quebec
",Man,"Bloc Québécois (2004/06/28 - 2011/05/01)
","2499 days (6 years, 10 months, 4 days)"
"Lemieux, Denis",1964,"MP (2015/10/19 - 2017/12/01)
","2015/10/19 - 2017/12/01
",NA,"Chicoutimi--Le Fjord (2015/10/19 - 2017/12/01)
",NA,Man,"Liberal Party of Canada (2015/10/19 - 2017/12/01)
","775 days (2 years, 1 months, 15 days)"
"Lemieux, Pierre",1963-04-09,"MP (2006/01/23 - 2015/10/18)
","2006/01/23 - 2015/10/18
",NA,"Glengarry--Prescott--Russell (2006/01/23 - 2015/10/18)
","Ontario
",Man,"Conservative Party of Canada (2006/01/23 - 2015/10/18)
","3556 days (9 years, 8 months, 26 days)"
"Lemire, Sébastien",NA,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Abitibi--Témiscamingue (2019/10/21 - )
","Quebec
",Man,"Bloc Québécois (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
"Leonard, Thomas D'Arcy",1895-04-29,"Senator (1955/07/28 - 1970/04/29)
",NA,"1955/07/28 - 1970/04/29
","Toronto-Rosedale (1955/07/28 - 1970/04/29)
","Ontario
",Man,"Liberal Party of Canada (1955/07/28 - 1970/04/29)
","5390 days (14 years, 9 months, 3 days)"
"Leroux, Gaston",1948-10-01,"MP (1993/10/25 - 1997/06/01)
","1993/10/25 - 1997/06/01
",NA,"Richmond--Wolfe (1993/10/25 - 1997/06/01)
","Quebec
",Man,"Bloc Québécois (1993/10/25 - 1997/06/01)
","1316 days (3 years, 7 months, 7 days)"
"Leroux, Jean H.",1949-02-06,"MP (1993/10/25 - 1997/06/01)
","1993/10/25 - 1997/06/01
",NA,"Shefford (1993/10/25 - 1997/06/01)
","Quebec
",Man,"Bloc Québécois (1993/10/25 - 1997/06/01)
","1316 days (3 years, 7 months, 7 days)"
"Lesick, William",1923-06-10,"MP (1984/09/04 - 1988/11/20)
","1984/09/04 - 1988/11/20
",NA,"Edmonton East (1984/09/04 - 1988/11/20)
","Alberta
",Man,"Progressive Conservative Party (1984/09/04 - 1988/11/20)
","1539 days (4 years, 2 months, 17 days)"
"Leslie, Andrew",1957-12-26,"MP (2015/10/19 - 2019/10/20)
","2015/10/19 - 2019/10/20
",NA,"Orléans (2015/10/19 - 2019/10/20)
","Ontario
",Man,"Liberal Party of Canada (2015/10/19 - 2019/10/20)
","1463 days (4 years, 2 days)"
"Leslie, Megan",1973-09-29,"MP (2008/10/14 - 2015/10/18)
","2008/10/14 - 2015/10/18
",NA,"Halifax (2008/10/14 - 2015/10/18)
","Nova Scotia
",Woman,"New Democratic Party (2008/10/14 - 2015/10/18)
","2561 days (7 years, 4 days)"
"Lessard, H.-Pit",1913-02-11,"MP (1968/06/25 - 1972/10/29)
MP (1958/03/31 - 1968/06/24)
","1968/06/25 - 1972/10/29
1958/03/31 - 1968/06/24
",NA,"Lasalle (1968/06/25 - 1972/10/29)
Saint-Henri (1958/03/31 - 1968/06/24)
","Quebec
Quebec
",Man,"Liberal Party of Canada (1958/03/31 - 1972/10/29)
","5327 days (14 years, 7 months, 1 days)"
"Lessard, Marcel",1926-08-14,"MP (1968/06/25 - 1980/02/17)
MP (1962/06/18 - 1965/11/07)
","1968/06/25 - 1980/02/17
1962/06/18 - 1965/11/07
",NA,"Lac-Saint-Jean (1968/06/25 - 1980/02/17)
Lac-Saint-Jean (1962/06/18 - 1965/11/07)
","Quebec
Quebec
",Man,"Liberal Party of Canada (1968/06/25 - 1980/02/17)
Social Credit Party of Canada (1962/06/18 - 1965/11/07)
","5494 days (15 years, 15 days)"
"Lessard, Yves",1943-01-02,"MP (2004/06/28 - 2011/05/01)
","2004/06/28 - 2011/05/01
",NA,"Chambly--Borduas (2004/06/28 - 2011/05/01)
","Quebec
",Man,"Bloc Québécois (2004/06/28 - 2011/05/01)
","2499 days (6 years, 10 months, 4 days)"
"Leung, Chungsen",1950-07-14,"MP (2011/05/02 - 2015/10/18)
","2011/05/02 - 2015/10/18
",NA,"Willowdale (2011/05/02 - 2015/10/18)
","Ontario
",Man,"Conservative Party of Canada (2011/05/02 - 2015/10/18)
","1631 days (4 years, 5 months, 18 days)"
"Leung, M. Sophia",1933-07-25,"MP (1997/06/02 - 2004/06/27)
","1997/06/02 - 2004/06/27
",NA,"Vancouver Kingsway (1997/06/02 - 2004/06/27)
","British Columbia
",Woman,"Liberal Party of Canada (1997/06/02 - 2004/06/27)
","2583 days (7 years, 26 days)"
"Lévesque, Yvon",1940-03-10,"MP (2004/09/01 - 2011/05/01)
MP (2004/06/28 - 2004/08/31)
","2004/09/01 - 2011/05/01
2004/06/28 - 2004/08/31
",NA,"Abitibi--Baie-James--Nunavik--Eeyou (2004/09/01 - 2011/05/01)
Nunavik--Eeyou (2004/06/28 - 2004/08/31)
","Quebec
Quebec
",Man,"Bloc Québécois (2004/06/28 - 2011/05/01)
","2499 days (6 years, 10 months, 4 days)"
"Levitt, Michael",1970-05-09,"MP (2015/10/19 - 2020/09/01)
","2015/10/19 - 2020/09/01
",NA,"York Centre (2015/10/19 - 2020/09/01)
","Ontario
",Man,"Liberal Party of Canada (2015/10/19 - 2020/09/01)
","1780 days (4 years, 10 months, 15 days)"
"Lewis, Chris",NA,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Essex (2019/10/21 - )
","Ontario
",Man,"Conservative Party of Canada (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
"Lewis, David",1909-06-23,"MP (1965/11/08 - 1974/07/07)
MP (1962/06/18 - 1963/04/07)
","1965/11/08 - 1974/07/07
1962/06/18 - 1963/04/07
",NA,"York South (1965/11/08 - 1974/07/07)
York South (1962/06/18 - 1963/04/07)
","Ontario
Ontario
",Man,"New Democratic Party (1965/11/08 - 1974/07/07)
New Democratic Party (1962/06/18 - 1963/04/07)
","3458 days (9 years, 5 months, 19 days)"
"Lewis, Douglas Grinslade",1938-04-17,"MP (1979/05/22 - 1993/10/24)
","1979/05/22 - 1993/10/24
",NA,"Simcoe North (1979/05/22 - 1993/10/24)
","Ontario
",Man,"Progressive Conservative Party (1979/05/22 - 1993/10/24)
","5270 days (14 years, 5 months, 5 days)"
"Lewis, Philip Derek",1924-11-28,"Senator (1978/03/23 - 1999/11/28)
",NA,"1978/03/23 - 1999/11/28
","St. John's (1978/03/23 - 1999/11/28)
","Newfoundland and Labrador
",Man,"Liberal Party of Canada (1978/03/23 - 1999/11/28)
","7921 days (21 years, 8 months, 8 days)"
"Lewycky, Laverne",1946-02-12,"MP (1980/02/18 - 1984/09/03)
","1980/02/18 - 1984/09/03
",NA,"Dauphin (1980/02/18 - 1984/09/03)
","Manitoba
",Man,"New Democratic Party (1980/02/18 - 1984/09/03)
","1660 days (4 years, 6 months, 16 days)"
"Liepert, Ron",1949-10-08,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Calgary Signal Hill (2015/10/19 - )
","Alberta
",Man,"Conservative Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Lightbound, Joël",1988-02-08,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Louis-Hébert (2015/10/19 - )
","Quebec
",Man,"Liberal Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Lill, Wendy",1950-11-02,"MP (1997/06/02 - 2004/06/27)
","1997/06/02 - 2004/06/27
",NA,"Dartmouth (1997/06/02 - 2004/06/27)
","Nova Scotia
",Woman,"New Democratic Party (1997/06/02 - 2004/06/27)
","2583 days (7 years, 26 days)"
"Limoges, Richard G.J.",1956-01-01,"MP (1999/04/12 - 2000/11/26)
","1999/04/12 - 2000/11/26
",NA,"Windsor--St. Clair (1999/04/12 - 2000/11/26)
","Ontario
",Man,"Liberal Party of Canada (1999/04/12 - 2000/11/26)
","595 days (1 years, 7 months, 17 days)"
"Lincoln, Clifford",1928-09-01,"MP (1997/06/02 - 2004/06/27)
MP (1993/10/25 - 1997/06/01)
","1997/06/02 - 2004/06/27
1993/10/25 - 1997/06/01
",NA,"Lac-Saint-Louis (1997/06/02 - 2004/06/27)
Lachine--Lac-Saint-Louis (1993/10/25 - 1997/06/01)
","Quebec
Quebec
",Man,"Liberal Party of Canada (1993/10/25 - 2004/06/27)
","3899 days (10 years, 8 months, 4 days)"
"Lind, James (Jim) Gordon",1913-03-08,"MP (1968/06/25 - 1972/10/29)
MP (1965/11/08 - 1968/06/24)
","1968/06/25 - 1972/10/29
1965/11/08 - 1968/06/24
",NA,"Middlesex (1968/06/25 - 1972/10/29)
Middlesex East (1965/11/08 - 1968/06/24)
","Ontario
Ontario
",Man,"Liberal Party of Canada (1965/11/08 - 1972/10/29)
","2548 days (6 years, 11 months, 22 days)"
"Littlechild, Wilton (Willie)",1944-04-01,"MP (1988/11/21 - 1993/10/24)
","1988/11/21 - 1993/10/24
",NA,"Wetaskiwin (1988/11/21 - 1993/10/24)
","Alberta
",Man,"Progressive Conservative Party (1988/11/21 - 1993/10/24)
","1799 days (4 years, 11 months, 3 days)"
"Liu, Laurin",1990-11-13,"MP (2011/05/02 - 2015/10/18)
","2011/05/02 - 2015/10/18
",NA,"Rivière-des-Mille-Îles (2011/05/02 - 2015/10/18)
","Quebec
",Woman,"New Democratic Party (2011/05/02 - 2015/10/18)
","1631 days (4 years, 5 months, 18 days)"
"Lizon, Wladyslaw",1954-06-27,"MP (2011/05/02 - 2015/10/18)
","2011/05/02 - 2015/10/18
",NA,"Mississauga East--Cooksville (2011/05/02 - 2015/10/18)
","Ontario
",Man,"Conservative Party of Canada (2011/05/02 - 2015/10/18)
","1631 days (4 years, 5 months, 18 days)"
"Lloyd, Dane",1991-02-16,"MP (2017/10/23 - )
","2017/10/23 - 
",NA,"Sturgeon River--Parkland (2017/10/23 - )
","Alberta
",Man,"Conservative Party of Canada (2017/10/23 - )
","2331 days (6 years, 4 months, 18 days)"
"Lloyd, John Edward",1908-08-02,"MP (1963/04/08 - 1965/11/07)
","1963/04/08 - 1965/11/07
",NA,"Halifax (1963/04/08 - 1965/11/07)
","Nova Scotia
",Man,"Liberal Party of Canada (1963/04/08 - 1965/11/07)
","945 days (2 years, 7 months, 2 days)"
"Lobb, Ben",1976-09-10,"MP (2008/10/14 - )
","2008/10/14 - 
",NA,"Huron--Bruce (2008/10/14 - )
","Ontario
",Man,"Conservative Party of Canada (2008/10/14 - )
","5627 days (15 years, 4 months, 26 days)"
"Lockhart, Alaina",NA,"MP (2015/10/19 - 2019/10/20)
","2015/10/19 - 2019/10/20
",NA,"Fundy Royal (2015/10/19 - 2019/10/20)
","New Brunswick
",Woman,"Liberal Party of Canada (2015/10/19 - 2019/10/20)
","1463 days (4 years, 2 days)"
"Loffreda, Tony",NA,"Senator (2019/07/22 - )
",NA,"2019/07/22 - 
","Shawinigan (2019/07/22 - )
","Quebec
",Man,"Independent Senators Group (2019/11/07 - )
Non-affiliated (2019/07/22 - 2019/11/06)
","1694 days (4 years, 7 months, 20 days)"
"Loiselle, Bernard Pierre",1948-05-02,"MP (1979/05/22 - 1984/09/03)
MP (1974/07/08 - 1979/05/21)
","1979/05/22 - 1984/09/03
1974/07/08 - 1979/05/21
",NA,"Verchères (1979/05/22 - 1984/09/03)
Chambly (1974/07/08 - 1979/05/21)
","Quebec
Quebec
",Man,"Liberal Party of Canada (1974/07/08 - 1984/09/03)
","3711 days (10 years, 1 months, 29 days)"
"Loiselle, Gérard",1921-04-15,"MP (1968/06/25 - 1979/05/21)
MP (1957/06/10 - 1968/06/24)
","1968/06/25 - 1979/05/21
1957/06/10 - 1968/06/24
",NA,"Saint-Henri (1968/06/25 - 1979/05/21)
St. Ann (1957/06/10 - 1968/06/24)
","Quebec
Quebec
",Man,"Liberal Party of Canada (1958/03/31 - 1979/05/21)
Independent Liberal (1957/06/10 - 1958/03/30)
","8016 days (21 years, 11 months, 11 days)"
"Loiselle, Gilles",1929-05-20,"MP (1990/12/19 - 1993/10/24)
MP (1988/11/21 - 1990/12/18)
","1990/12/19 - 1993/10/24
1988/11/21 - 1990/12/18
",NA,"Québec (1990/12/19 - 1993/10/24)
Langelier (1988/11/21 - 1990/12/18)
","Quebec
Quebec
",Man,"Progressive Conservative Party (1988/11/21 - 1993/10/24)
","1799 days (4 years, 11 months, 3 days)"
"Loney, Edison John Clayton",1929-02-23,"MP (1993/10/25 - 1997/06/01)
MP (1963/04/08 - 1968/06/24)
","1993/10/25 - 1997/06/01
1963/04/08 - 1968/06/24
",NA,"Edmonton North (1993/10/25 - 1997/06/01)
Bruce (1963/04/08 - 1968/06/24)
","Alberta
Ontario
",Man,"Liberal Party of Canada (1993/10/25 - 1997/06/01)
Progressive Conservative Party (1963/04/08 - 1968/06/24)
","3221 days (8 years, 9 months, 25 days)"
"Long, Wayne",1963,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Saint John--Rothesay (2015/10/19 - )
","New Brunswick
",Man,"Liberal Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Longfield, Judi",1947-04-23,"MP (2004/06/28 - 2006/01/22)
MP (1997/06/02 - 2004/06/27)
","2004/06/28 - 2006/01/22
1997/06/02 - 2004/06/27
",NA,"Whitby--Oshawa (2004/06/28 - 2006/01/22)
Whitby--Ajax (1997/06/02 - 2004/06/27)
","Ontario
Ontario
",Woman,"Liberal Party of Canada (1997/06/02 - 2006/01/22)
","3157 days (8 years, 7 months, 22 days)"
"Longfield, Lloyd",1956-10,"MP (2015/10/19 - )
","2015/10/19 - 
",NA,"Guelph (2015/10/19 - )
","Ontario
",Man,"Liberal Party of Canada (2015/10/19 - )
","3066 days (8 years, 4 months, 22 days)"
"Lonsdale, Bruce",1949-11-10,"MP (1980/02/18 - 1982/01/22)
","1980/02/18 - 1982/01/22
",NA,"Timiskaming (1980/02/18 - 1982/01/22)
","Ontario
",Man,"Liberal Party of Canada (1980/02/18 - 1982/01/22)
","705 days (1 years, 11 months, 5 days)"
"Lopez, Ricardo",1937-02-13,"MP (1984/09/04 - 1993/10/24)
","1984/09/04 - 1993/10/24
",NA,"Châteauguay (1984/09/04 - 1993/10/24)
","Quebec
",Man,"Progressive Conservative Party (1984/09/04 - 1993/10/25)
","3338 days (9 years, 1 months, 21 days)"
"Losier-Cool, Rose-Marie",1937-06-18,"Senator (1995/03/21 - 2012/06/18)
",NA,"1995/03/21 - 2012/06/18
","Tracadie (1995/03/21 - 2012/06/18)
","New Brunswick
",Woman,"Liberal Party of Canada (1995/03/21 - 2012/06/18)
","6300 days (17 years, 2 months, 30 days)"
"Loubier, Yvan",1959-04-10,"MP (1993/10/25 - 2007/02/21)
","1993/10/25 - 2007/02/21
",NA,"Saint-Hyacinthe--Bagot (1993/10/25 - 2007/02/21)
","Quebec
",Man,"Bloc Québécois (1993/10/25 - 2007/02/21)
","4868 days (13 years, 3 months, 29 days)"
"Louis, Tim",NA,"MP (2019/10/21 - )
","2019/10/21 - 
",NA,"Kitchener--Conestoga (2019/10/21 - )
","Ontario
",Man,"Liberal Party of Canada (2019/10/21 - )
","1603 days (4 years, 4 months, 20 days)"
"Lovelace Nicholas, Sandra",NA,"Senator (2005/09/21 - 2023/01/31)
",NA,"2005/09/21 - 2023/01/31
","New Brunswick (2005/09/21 - 2023/01/31)
","New Brunswick
",Woman,"Progressive Senate Group (2020/05/21 - 2023/01/31)
Non-affiliated (2019/11/18 - 2020/05/20)
Progressive Senate Group (2019-2019) (2019/11/14 - 2019/11/17)
Liberal Party of Canada (2005/09/21 - 2019/11/13)
","6342 days (17 years, 4 months, 11 days)"
"Lowther, Eric",1954-08-31,"MP (1997/06/02 - 2000/11/26)
","1997/06/02 - 2000/11/26
",NA,"Calgary Centre (1997/06/02 - 2000/11/26)
","Alberta
",Man,"Canadian Reform Conservative Alliance (2000/03/27 - 2000/11/26)
Reform Party of Canada (1997/06/02 - 2000/03/26)
","1274 days (3 years, 5 months, 26 days)"
"Lucier, Paul",1930-07-29,"Senator (1975/10/23 - 1999/07/23)
",NA,"1975/10/23 - 1999/07/23
","Yukon (1975/10/23 - 1999/07/23)
","Yukon
",Man,"Liberal Party of Canada (1975/10/23 - 1999/07/23)
","8675 days (23 years, 9 months,"
"Ludwig, Karen",NA,"MP (2015/10/19 - 2019/10/20)
","2015/10/19 - 2019/10/20
",NA,"New Brunswick Southwest (2015/10/19 - 2019/10/20)
","New Brunswick
",Woman,"Liberal Party of Canada (2015/10/19 - 2019/10/20)
","1463 days (4 years, 2 days)"
"Lukiwski, Tom",1951-10-05,"MP (2015/10/19 - 2021/09/19)
MP (2004/06/28 - 2015/10/18)
","2015/10/19 - 2021/09/19
2004/06/28 - 2015/10/18
",NA,"Moose Jaw--Lake Centre--Lanigan (2015/10/19 - 2021/09/19)
Regina--Lumsden--Lake Centre (2004/06/28 - 2015/10/18)
","Saskatchewan
Saskatchewan
",Man,"Conservative Party of Canada (2004/06/28 - 2021/09/19)
","6293 days (17 years, 2 months, 23 days)"
"Lumley, Edward C.",1939-10-27,"MP (1974/07/08 - 1984/09/03)
","1974/07/08 - 1984/09/03
",NA,"Stormont--Dundas (1974/07/08 - 1984/09/03)
","Ontario
",Man,"Liberal Party of Canada (1974/07/08 - 1984/09/03)
","3711 days (10 years, 1 months, 29 days)"
"Lundrigan, John Howard",1939-01-10,"MP (1968/06/25 - 1974/07/07)
","1968/06/25 - 1974/07/07
",NA,"Gander--Twillingate (1968/06/25 - 1974/07/07)
","Newfoundland and Labrador
",Man,"Progressive Conservative Party (1968/06/25 - 1974/07/07)
","2204 days (6 years, 13 days)"
"Lunn, Gary",1957-05-08,"MP (1997/06/02 - 2011/05/01)
","1997/06/02 - 2011/05/01
",NA,"Saanich--Gulf Islands (1997/06/02 - 2011/05/01)
","British Columbia
",Man,"Conservative Party of Canada (2003/12/23 - 2011/05/01)
Canadian Reform Conservative Alliance (2000/03/27 - 2003/12/22)
Reform Party of Canada (1997/06/02 - 2000/03/26)
","5082 days (13 years, 10 months, 30 days)"
"Lunney, James",1951-09-05,"MP (2000/11/27 - 2015/10/18)
","2000/11/27 - 2015/10/18
",NA,"Nanaimo--Alberni (2000/11/27 - 2015/10/18)
","British Columbia
",Man,"Independent (2015/03/31 - 2015/10/18)
Conservative Party of Canada (2003/12/23 - 2015/03/30)
Canadian Reform Conservative Alliance (2000/11/27 - 2003/12/22)
","5439 days (14 years, 10 months, 22 days)"
"Lussier, Marcel",1944-06-30,"MP (2006/01/23 - 2008/10/13)
","2006/01/23 - 2008/10/13
",NA,"Brossard--La Prairie (2006/01/23 - 2008/10/13)
","Quebec
",Man,"Bloc Québécois (2006/01/23 - 2008/10/13)
","995 days (2 years, 8 months, 22 days)"
"Lynch-Staunton, John",1930-06-19,"Senator (1990/09/23 - 2005/06/19)
",NA,"1990/09/23 - 2005/06/19
","Grandville (1990/09/23 - 2005/06/19)
","Quebec
",Man,"Conservative Party of Canada (2004/02/02 - 2005/06/19)
Progressive Conservative Party (1990/09/23 - 2004/02/01)
","5384 days (14 years, 8 months, 28 days)"
"Macaluso, Joseph Angelo",1931-04-06,"MP (1963/04/08 - 1968/06/24)
","1963/04/08 - 1968/06/24
",NA,"Hamilton West (1963/04/08 - 1968/06/24)
","Ontario
",Man,"Liberal Party of Canada (1963/04/08 - 1968/06/24)
","1905 days (5 years, 2 months, 18 days)"
